Familie,Kultur
Kohlarten,Grünkohl
Kohlarten,Rosenkohl
Kohlarten,Rotkohl
Kohlarten,Weißkohl
Kohlarten,Brokkoli
Kohlarten,Blumenkohl
Kohlarten,Wirsing
Kohlarten,Kohlrabi
Zwiebelgewächse,Schnittlauch
Zwiebelgewächse,Zwiebeln
Zwiebelgewächse,Lauch;Porree;Berg-Lauch
Zwiebelgewächse,Winterheckenzwiebeln
Zwiebelgewächse,Frühlingszwiebeln
Zwiebelgewächse,Knoblauch
Bohnenarten,Feuerbohnen
Bohnenarten,Dicke Bohnen
Bohnenarten,Stangenbohnen
Bohnenarten,Buschbohnen
Bohnenarten,Ackerbohnen
Bohnenarten,Gartenbohnen
Erbsenarten,Zuckererbsen
Erbsenarten,Markerbsen
Erbsenarten,Zuckerschoten
Erbsenarten,Palerbsen;Schalerbsen
